course_title,provider,price,description
Machine Learning Foundations: A Case Study Approach,Coursera,Free,"Hands-on exploration of machine learning applications through practical case studies, covering regression, classification, clustering, recommender systems, and deep learning using Python."
Predictive Modeling and Machine Learning with MATLAB,Coursera,Free,"Learn to build, evaluate, and optimize regression and classification models using MATLAB. Apply supervised machine learning workflows to real-world datasets and improve model performance through feature selection and hyperparameter tuning."
Machine Learning for Musicians and Artists,Kadenze,Free,"Explore machine learning techniques for creating interactive art, music, and installations. Learn to analyze gestures, audio, and sensor data using classification, regression, and segmentation algorithms."
Practical Machine Learning,Coursera,Free,"Learn essential machine learning concepts and techniques, from data collection to model evaluation, with hands-on practice using popular algorithms and the caret package in R."
Machine Learning: Regression,Coursera,Free,"Explore regression models for predicting continuous values, from simple linear to complex techniques. Learn to estimate parameters, tune with cross-validation, analyze performance, and implement in Python."
Machine Learning with Python: from Linear Models to Deep Learning.,edX,Free,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. -- Part of the MITx MicroMasters program in Statistics and Data Science."
Mathematics for Machine Learning: Linear Algebra,Coursera,Free,"Explore linear algebra fundamentals and their applications in machine learning, covering vectors, matrices, eigenvalues, and practical implementations in Python for data-driven tasks."
Introduction to Machine Learning Course,Udacity,Free,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity."
Machine Learning With Big Data,Coursera,Free,"Explore, analyze, and leverage big data using machine learning techniques. Learn to design approaches, prepare data, construct models, and scale solutions using open-source tools and Spark."
Machine Learning: Classification,Coursera,Free,"Learn to build and implement classification models for sentiment analysis and loan default prediction using logistic regression, decision trees, and boosting techniques. Gain hands-on experience with real-world datasets and machine learning algorithms."
Mathematics for Machine Learning: Multivariate Calculus,Coursera,Free,"Explore multivariate calculus essentials for machine learning, covering gradients, chain rule, Taylor series, and optimization techniques, with practical applications in neural networks and regression."
Structuring Machine Learning Projects,Coursera,Free,"Learn to structure and optimize machine learning projects, diagnose errors, and make strategic decisions as an ML project leader to improve system performance and efficiency."
Applied Machine Learning in Python,Coursera,Free,"Learn applied machine learning techniques using Python, from clustering to predictive modeling, with a focus on practical implementation and evaluation using scikit-learn."
Machine Learning with Python,Coursera,Free,"Dive into Machine Learning with Python, covering supervised and unsupervised learning, regression, classification, and clustering. Gain hands-on experience using SciPy and scikit-learn libraries."
AWS Machine Learning Engineer Nanodegree,Udacity,Paid,"Master foundational ML skills, from supervised learning to deep learning. Deploy models to production environments and complete a capstone project in your chosen domain."
